project_id,template,n_truth,n_parsed,n_resolved,tp,fp,fn,cost_ok,loading_abs_err
Q11-0041,C,3,4,3,3,0,0,True,0.0
Q11-0049,B,0,0,0,0,0,0,True,0.0
Q11-0062,B,6,6,6,6,0,0,True,0.0
Q11-0074,C,19,25,19,19,0,0,True,0.0
Q11-0083,C,3,3,3,3,0,0,True,0.0
Q11-0086,B,8,10,8,8,0,0,True,0.0
Q12-0107,B,21,21,21,21,0,0,True,0.0
Q11-0028,A,1,1,1,1,0,0,True,0.0
Q11-0032,B,11,11,11,11,0,0,True,0.0
Q11-0067,B,13,13,13,13,0,0,True,0.0
Q11-0069,B,25,25,25,25,0,0,True,0.0
Q11-0088,B,7,7,7,7,0,0,True,0.0
Q12-0091,C,0,0,0,0,0,0,True,0.0
Q12-0101,B,6,6,6,6,0,0,True,0.0
Q12-0111,B,2,2,2,2,0,0,True,0.0
Q12-0112,C,17,17,17,17,0,0,True,0.0
Q12-0115,B,2,2,2,2,0,0,True,0.0
Q11-0027,B,0,0,0,0,0,0,True,0.0
Q11-0061,B,3,3,3,3,0,0,True,0.0
Q12-0094,B,0,0,0,0,0,0,True,0.0
Q12-0116,B,6,6,6,6,0,0,True,0.0
Q12-0122,B,19,19,19,19,0,0,True,0.0
Q11-0039,C,14,14,14,14,0,0,True,0.0
Q11-0057,B,4,4,4,4,0,0,True,0.0
Q11-0059,B,17,19,17,17,0,0,True,0.0
Q11-0080,B,2,2,2,2,0,0,True,0.0
Q12-0106,B,16,16,16,16,0,0,True,0.0
Q12-0118,A,5,5,5,5,0,0,True,0.0
Q11-0040,C,0,0,0,0,0,0,True,0.0
Q11-0065,A,18,21,18,18,0,0,True,0.0
Q11-0076,B,2,2,2,2,0,0,True,0.0
Q12-0103,B,0,0,0,0,0,0,True,0.0
Q12-0127,A,17,17,17,17,0,0,True,0.0
Q12-0121,C,12,12,12,12,0,0,True,0.0
Q12-0142,B,1,1,1,1,0,0,True,0.0
Q11-0048,C,2,2,2,2,0,0,True,0.0
Q11-0050,A,0,0,0,0,0,0,True,0.0
Q11-0081,B,21,21,21,20,1,1,True,0.0
Q12-0095,B,2,2,2,2,0,0,True,0.0
Q12-0132,C,2,2,2,2,0,0,True,0.0
Q12-0151,B,22,25,22,22,0,0,True,0.0
Q12-0154,C,20,20,20,20,0,0,True,0.0
Q12-0157,C,9,14,9,9,0,0,True,0.0
Q12-0161,A,9,9,9,9,0,0,True,0.0
Q11-0051,B,24,25,24,24,0,0,True,0.0
Q11-0079,A,2,2,2,2,0,0,True,0.0
Q12-0098,A,0,0,0,0,0,0,True,0.0
Q12-0100,B,1,2,1,1,0,0,True,0.0
Q11-0058,B,0,0,0,0,0,0,True,0.0
Q11-0078,C,11,11,11,11,0,0,True,0.0
Q12-0131,C,8,8,8,8,0,0,True,0.0
Q12-0182,B,25,25,25,25,0,0,True,0.0
Q12-0102,B,0,0,0,0,0,0,True,0.0
Q12-0126,B,4,4,4,4,0,0,True,0.0
Q12-0141,B,1,1,1,1,0,0,True,0.0
Q12-0155,A,8,8,8,8,0,0,True,0.0
Q12-0108,C,3,3,3,3,0,0,True,0.0
Q12-0158,C,13,13,13,13,0,0,True,0.0
Q12-0167,B,20,20,20,20,0,0,True,0.0
Q12-0170,B,11,11,11,11,0,0,True,0.0
Q12-0171,B,2,2,2,2,0,0,True,0.0
Q12-0172,B,4,4,4,4,0,0,True,0.0
Q13-0198,B,17,17,17,17,0,0,True,0.0
Q11-0084,C,12,12,12,12,0,0,True,0.0
Q12-0092,B,1,1,1,1,0,0,True,0.0
Q12-0109,A,8,8,8,8,0,0,True,0.0
Q12-0110,A,25,25,25,25,0,0,True,0.0
Q12-0119,C,21,21,21,21,0,0,True,0.0
Q12-0139,B,25,25,25,25,0,0,True,0.0
Q12-0140,B,22,22,22,22,0,0,True,0.0
Q12-0147,A,25,25,25,25,0,0,True,0.0
Q12-0152,B,37,37,37,37,0,0,True,0.0
Q12-0160,B,2,2,2,2,0,0,True,0.0
Q12-0163,C,27,27,27,27,0,0,True,0.0
Q12-0164,C,25,25,25,25,0,0,True,0.0
Q12-0174,B,13,13,13,13,0,0,True,0.0
Q13-0191,B,25,25,25,25,0,0,True,0.0
Q12-0146,A,24,24,24,24,0,0,True,0.0
Q12-0186,C,25,25,25,25,0,0,True,0.0
Q12-0187,B,11,11,11,11,0,0,True,0.0
Q12-0190,A,2,2,2,2,0,0,True,0.0
Q13-0225,A,25,25,25,25,0,0,True,0.0
Q12-0099,B,5,5,5,5,0,0,True,0.0
Q12-0128,B,3,3,3,3,0,0,True,0.0
Q12-0150,B,25,25,25,25,0,0,True,0.0
Q12-0166,C,16,16,16,16,0,0,True,0.0
Q13-0208,B,25,25,25,25,0,0,True,0.0
Q13-0223,C,11,12,11,11,0,0,True,0.0
Q12-0113,B,0,0,0,0,0,0,True,0.0
Q12-0117,B,7,7,7,7,0,0,True,0.0
Q12-0120,C,0,0,0,0,0,0,True,0.0
Q12-0129,B,25,25,25,25,0,0,True,0.0
Q12-0137,A,10,10,10,10,0,0,True,0.0
Q12-0144,B,0,0,0,0,0,0,True,0.0
Q12-0145,C,25,25,25,25,0,0,True,0.0
Q12-0169,B,3,3,3,3,0,0,True,0.0
Q13-0199,B,18,18,18,18,0,0,True,0.0
Q13-0206,B,0,0,0,0,0,0,True,0.0
Q13-0222,B,2,2,2,2,0,0,True,0.0
Q13-0243,B,25,25,25,25,0,0,True,0.0
Q13-0253,B,8,8,8,8,0,0,True,0.0
Q12-0123,C,3,3,3,3,0,0,True,0.0
Q12-0130,B,25,25,25,25,0,0,True,0.0
Q12-0133,A,19,19,19,19,0,0,True,0.0
Q12-0138,A,25,25,25,25,0,0,True,0.0
Q13-0204,C,25,25,25,25,0,0,True,0.0
Q13-0224,C,0,0,0,0,0,0,True,0.0
Q13-0254,A,19,19,19,19,0,0,True,0.0
Q12-0136,C,21,25,21,21,0,0,True,0.0
Q12-0149,B,14,18,14,14,0,0,True,0.0
Q12-0159,A,13,15,13,13,0,0,True,0.0
Q12-0162,B,4,4,4,4,0,0,True,0.0
Q12-0183,B,25,25,25,25,0,0,True,0.0
Q13-0202,B,15,15,15,15,0,0,True,0.0
Q13-0205,C,5,5,5,5,0,0,True,0.0
Q13-0209,C,27,27,27,27,0,0,True,0.0
Q13-0235,B,21,22,21,21,0,0,True,0.0
Q13-0241,B,4,5,4,4,0,0,True,0.0
Q12-0135,A,25,25,25,25,0,0,True,0.0
Q12-0143,C,21,21,21,21,0,0,True,0.0
Q12-0173,B,24,24,24,24,0,0,True,0.0
Q12-0175,B,0,0,0,0,0,0,True,0.0
Q13-0207,B,0,0,0,0,0,0,True,0.0
Q13-0261,C,1,1,1,1,0,0,True,0.0
Q13-0274,A,24,25,24,24,0,0,True,0.0
Q13-0275,A,9,9,9,9,0,0,True,0.0
Q13-0282,B,3,3,3,3,0,0,True,0.0
Q12-0156,B,25,25,25,25,0,0,True,0.0
Q12-0168,B,1,1,1,1,0,0,True,0.0
Q12-0178,A,7,7,7,7,0,0,True,0.0
Q13-0193,A,4,4,4,4,0,0,True,0.0
Q13-0251,C,10,10,10,10,0,0,True,0.0
Q13-0271,B,6,6,6,6,0,0,True,0.0
Q13-0287,A,25,25,25,25,0,0,True,0.0
Q12-0181,C,0,0,0,0,0,0,True,0.0
Q12-0185,C,6,6,6,6,0,0,True,0.0
Q13-0196,B,0,0,0,0,0,0,True,0.0
Q13-0200,A,0,0,0,0,0,0,True,0.0
Q13-0214,B,6,6,6,6,0,0,True,0.0
Q13-0216,A,1,1,1,1,0,0,True,0.0
Q13-0217,B,0,0,0,0,0,0,True,0.0
Q13-0231,B,0,0,0,0,0,0,True,0.0
Q13-0288,B,22,22,22,22,0,0,True,0.0
Q13-0220,C,1,1,1,1,0,0,True,0.0
Q12-0165,B,11,11,11,11,0,0,True,0.0
Q13-0195,C,17,17,17,17,0,0,True,0.0
Q13-0221,B,1,1,1,1,0,0,True,0.0
Q13-0236,C,5,5,5,5,0,0,True,0.0
Q13-0237,B,25,25,25,25,0,0,True,0.0
Q13-0240,C,0,0,0,0,0,0,True,0.0
Q13-0256,B,0,0,0,0,0,0,True,0.0
Q13-0269,B,10,11,10,10,0,0,True,0.0
Q13-0278,C,0,0,0,0,0,0,True,0.0
Q13-0299,B,9,9,9,9,0,0,True,0.0
Q14-0320,B,4,4,4,4,0,0,True,0.0
Q12-0179,C,10,10,10,10,0,0,True,0.0
Q12-0180,C,12,15,12,12,0,0,True,0.0
Q12-0189,A,0,0,0,0,0,0,True,0.0
Q13-0194,A,0,0,0,0,0,0,True,0.0
Q13-0197,B,25,25,25,25,0,0,True,0.0
Q13-0201,B,2,2,2,2,0,0,True,0.0
Q13-0211,B,3,3,3,3,0,0,True,0.0
Q13-0212,B,2,2,2,2,0,0,True,0.0
Q13-0228,B,25,25,25,25,0,0,True,0.0
Q13-0234,B,15,15,15,15,0,0,True,0.0
Q13-0286,A,7,7,7,7,0,0,True,0.0
Q13-0297,C,4,4,4,4,0,0,True,0.0
Q14-0312,B,5,6,5,5,0,0,True,0.0
Q13-0192,B,25,25,25,25,0,0,True,0.0
Q13-0203,B,19,19,19,19,0,0,True,0.0
Q13-0215,B,11,11,11,11,0,0,True,0.0
Q13-0218,A,22,22,22,22,0,0,True,0.0
Q13-0229,B,25,25,25,25,0,0,True,0.0
Q14-0332,B,25,25,25,25,0,0,True,0.0
Q13-0213,A,19,20,19,19,0,0,True,0.0
Q13-0219,B,3,3,3,3,0,0,True,0.0
Q13-0226,C,0,0,0,0,0,0,True,0.0
Q13-0232,B,16,16,16,16,0,0,True,0.0
Q13-0249,B,20,21,20,19,1,1,True,0.0
Q13-0267,B,0,0,0,0,0,0,True,0.0
Q13-0268,B,25,25,25,25,0,0,True,0.0
Q13-0277,C,18,18,18,18,0,0,True,0.0
Q13-0298,B,25,25,25,25,0,0,True,0.0
Q14-0306,B,14,14,14,14,0,0,True,0.0
Q14-0317,C,1,1,1,1,0,0,True,0.0
Q14-0321,B,0,0,0,0,0,0,True,0.0
Q14-0329,B,0,0,0,0,0,0,True,0.0
Q14-0334,B,10,10,10,10,0,0,True,0.0
Q14-0345,B,4,5,4,4,0,0,True,0.0
Q13-0210,B,0,0,0,0,0,0,True,0.0
Q13-0230,B,19,21,19,19,0,0,True,0.0
Q13-0238,C,0,0,0,0,0,0,True,0.0
Q13-0246,B,21,21,21,21,0,0,True,0.0
Q13-0276,B,1,1,1,1,0,0,True,0.0
Q13-0280,B,0,0,0,0,0,0,True,0.0
Q13-0293,A,0,0,0,0,0,0,True,0.0
Q14-0336,B,2,2,2,2,0,0,True,0.0
Q13-0242,B,5,5,5,5,0,0,True,0.0
Q13-0244,B,0,0,0,0,0,0,True,0.0
Q13-0265,A,0,0,0,0,0,0,True,0.0
Q13-0272,B,0,0,0,0,0,0,True,0.0
Q14-0318,C,4,4,4,4,0,0,True,0.0
Q14-0328,A,0,0,0,0,0,0,True,0.0
Q13-0233,A,3,3,3,3,0,0,True,0.0
Q13-0245,B,1,1,1,1,0,0,True,0.0
Q13-0257,A,3,3,3,2,1,1,True,0.0
Q13-0283,B,5,5,5,5,0,0,True,0.0
Q13-0292,B,0,0,0,0,0,0,True,0.0
Q14-0311,C,17,17,17,17,0,0,True,0.0
Q14-0319,C,24,25,24,24,0,0,True,0.0
Q13-0248,B,5,5,5,5,0,0,True,0.0
Q13-0270,C,0,0,0,0,0,0,True,0.0
Q13-0279,B,1,1,1,1,0,0,True,0.0
Q13-0285,B,11,11,11,11,0,0,True,0.0
Q13-0290,B,13,13,13,13,0,0,True,0.0
Q14-0325,B,10,10,10,10,0,0,True,0.0
Q14-0341,B,0,0,0,0,0,0,True,0.0
Q14-0356,C,1,1,1,1,0,0,True,0.0
Q14-0363,C,25,25,25,25,0,0,True,0.0
Q14-0369,C,1,1,1,1,0,0,True,0.0
Q14-0380,B,7,9,7,7,0,0,True,0.0
Q13-0247,B,6,6,6,6,0,0,True,0.0
Q13-0250,B,15,15,15,15,0,0,True,0.0
Q13-0252,B,2,2,2,2,0,0,True,0.0
Q13-0258,B,23,23,23,23,0,0,True,0.0
Q13-0294,B,0,0,0,0,0,0,True,0.0
Q14-0301,A,3,3,3,3,0,0,True,0.0
Q14-0305,C,25,25,25,25,0,0,True,0.0
Q14-0307,B,6,6,6,6,0,0,True,0.0
Q14-0313,B,14,14,14,14,0,0,True,0.0
Q14-0355,C,21,25,21,21,0,0,True,0.0
Q14-0379,C,16,17,16,16,0,0,True,0.0
Q14-0388,A,13,13,13,13,0,0,True,0.0
Q13-0281,B,5,5,5,5,0,0,True,0.0
Q14-0303,B,25,25,25,25,0,0,True,0.0
Q14-0314,A,28,31,28,28,0,0,True,0.0
Q14-0316,C,0,0,0,0,0,0,True,0.0
Q14-0340,C,3,3,3,3,0,0,True,0.0
Q14-0366,B,25,25,25,25,0,0,True,0.0
Q14-0370,C,11,11,11,11,0,0,True,0.0
Q14-0374,B,25,25,25,25,0,0,True,0.0
Q14-0375,B,7,7,7,7,0,0,True,0.0
Q14-0377,C,5,5,5,5,0,0,True,0.0
Q14-0384,B,10,10,10,10,0,0,True,0.0
Q13-0262,B,25,25,25,25,0,0,True,0.0
Q13-0289,B,25,25,25,25,0,0,True,0.0
Q13-0295,A,5,5,5,5,0,0,True,0.0
Q13-0296,C,0,0,0,0,0,0,True,0.0
Q14-0327,B,5,5,5,5,0,0,True,0.0
Q14-0330,C,5,5,5,5,0,0,True,0.0
Q14-0354,B,2,3,2,2,0,0,True,0.0
Q13-0291,B,0,0,0,0,0,0,True,0.0
Q14-0357,B,0,0,0,0,0,0,True,0.0
Q14-0391,B,7,8,7,7,0,0,True,0.0
Q14-0396,B,12,12,11,11,0,1,True,0.0
Q14-0404,A,17,18,17,17,0,0,True,0.0
Q15-0423,B,25,25,25,25,0,0,True,0.0
Q15-0430,C,25,25,25,25,0,0,True,0.0
Q13-0300,A,8,8,8,8,0,0,True,0.0
Q14-0331,B,0,0,0,0,0,0,True,0.0
Q14-0373,A,6,6,6,6,0,0,True,0.0
Q14-0382,B,13,14,13,13,0,0,True,0.0
Q14-0390,B,13,13,12,12,0,1,True,0.0
Q14-0302,C,0,0,0,0,0,0,True,0.0
Q14-0322,A,4,4,4,4,0,0,True,0.0
Q14-0335,A,10,10,10,10,0,0,True,0.0
Q14-0346,A,9,9,9,9,0,0,True,0.0
Q14-0347,B,0,0,0,0,0,0,True,0.0
Q14-0350,A,0,0,0,0,0,0,True,0.0
Q14-0395,A,8,10,8,8,0,0,True,0.0
Q14-0416,C,2,2,2,2,0,0,True,0.0
Q14-0304,C,8,8,8,8,0,0,True,0.0
Q14-0339,A,8,9,8,8,0,0,True,0.0
Q14-0352,A,9,9,9,9,0,0,True,0.0
Q14-0353,A,7,8,7,7,0,0,True,0.0
Q14-0367,A,25,25,25,25,0,0,True,0.0
Q14-0385,B,8,13,8,8,0,0,True,0.0
Q14-0405,C,0,0,0,0,0,0,True,0.0
Q14-0406,B,0,0,0,0,0,0,True,0.0
Q15-0426,C,14,15,14,14,0,0,True,0.0
Q15-0429,B,22,25,22,22,0,0,True,0.0
Q15-0440,C,7,7,7,7,0,0,True,0.0
Q15-0447,B,0,0,0,0,0,0,True,0.0
Q15-0452,B,3,3,3,3,0,0,True,0.0
Q14-0324,B,8,8,8,8,0,0,True,0.0
Q14-0351,A,0,0,0,0,0,0,True,0.0
Q14-0358,B,0,0,0,0,0,0,True,0.0
Q15-0424,C,6,6,6,6,0,0,True,0.0
Q15-0432,C,4,5,4,4,0,0,True,0.0
Q14-0326,C,3,8,3,3,0,0,True,0.0
Q14-0342,A,0,0,0,0,0,0,True,0.0
Q14-0364,A,0,0,0,0,0,0,True,0.0
Q14-0383,A,0,0,0,0,0,0,True,0.0
Q14-0389,A,0,0,0,0,0,0,True,0.0
Q14-0407,B,8,8,8,8,0,0,True,0.0
Q14-0411,C,15,17,15,15,0,0,True,0.0
Q15-0446,A,0,0,0,0,0,0,True,0.0
Q15-0450,A,16,16,16,16,0,0,True,0.0
Q15-0462,A,24,25,24,24,0,0,True,0.0
Q15-0475,A,25,25,25,25,0,0,True,0.0
Q14-0360,C,1,1,1,1,0,0,True,0.0
Q14-0381,A,3,3,3,3,0,0,True,0.0
Q14-0397,C,25,25,24,24,0,1,True,0.0
Q14-0402,A,5,5,5,5,0,0,True,0.0
Q15-0473,A,25,25,25,25,0,0,True,0.0
Q15-0479,A,25,25,25,25,0,0,True,0.0
Q14-0337,C,25,25,25,25,0,0,True,0.0
Q14-0343,C,25,25,25,25,0,0,True,0.0
Q14-0348,A,22,22,22,22,0,0,True,0.0
Q14-0361,A,25,25,25,25,0,0,True,0.0
Q14-0386,A,0,0,0,0,0,0,True,0.0
Q14-0410,B,8,8,8,8,0,0,True,0.0
Q15-0422,B,24,25,24,24,0,0,True,0.0
Q15-0428,B,16,17,16,16,0,0,True,0.0
Q15-0474,C,0,0,0,0,0,0,True,0.0
Q15-0484,A,6,6,6,6,0,0,True,0.0
Q15-0502,C,42,43,42,42,0,0,True,0.0
Q14-0368,C,0,0,0,0,0,0,True,0.0
Q14-0371,A,21,22,21,21,0,0,True,0.0
Q14-0398,C,25,25,25,25,0,0,True,0.0
Q14-0399,A,5,6,5,5,0,0,True,0.0
Q15-0483,A,18,18,18,18,0,0,True,0.0
Q15-0488,B,19,19,19,19,0,0,True,0.0
Q14-0365,C,5,5,5,5,0,0,True,0.0
Q14-0372,C,6,6,6,6,0,0,True,0.0
Q14-0376,A,25,25,25,25,0,0,True,0.0
Q14-0393,C,1,1,1,1,0,0,True,0.0
Q15-0425,B,13,13,13,13,0,0,True,0.0
Q15-0427,A,14,16,14,14,0,0,True,0.0
Q15-0436,C,3,3,3,3,0,0,True,0.0
Q15-0448,B,20,20,20,20,0,0,True,0.0
Q15-0477,A,21,21,21,21,0,0,True,0.0
Q15-0490,B,37,37,37,37,0,0,True,0.0
Q15-0506,A,22,22,22,22,0,0,True,0.0
Q15-0517,A,17,18,17,17,0,0,True,0.0
Q14-0403,A,14,14,14,14,0,0,True,0.0
Q15-0421,A,1,1,1,1,0,0,True,0.0
Q15-0454,C,25,25,25,25,0,0,True,0.0
Q15-0466,A,5,5,5,5,0,0,True,0.0
Q15-0540,A,15,15,15,15,0,0,True,0.0
Q14-0400,C,4,7,4,4,0,0,True,0.0
Q15-0439,A,4,4,4,4,0,0,True,0.0
Q15-0485,C,23,25,23,23,0,0,True,0.0
Q15-0489,A,22,22,22,22,0,0,True,0.0
Q15-0528,C,8,8,8,8,0,0,True,0.0
Q14-0419,A,22,22,22,22,0,0,True,0.0
Q15-0431,A,6,6,6,6,0,0,True,0.0
Q15-0435,C,25,25,25,25,0,0,True,0.0
Q15-0476,C,8,8,8,8,0,0,True,0.0
Q15-0478,A,25,25,25,25,0,0,True,0.0
Q15-0487,A,25,25,25,25,0,0,True,0.0
Q15-0494,A,24,25,24,24,0,0,True,0.0
Q15-0513,A,24,25,24,24,0,0,True,0.0
Q15-0535,A,11,11,11,11,0,0,True,0.0
Q14-0401,A,3,3,3,3,0,0,True,0.0
Q14-0412,C,1,1,1,1,0,0,True,0.0
Q14-0413,A,25,25,25,25,0,0,True,0.0
Q14-0414,A,25,25,25,25,0,0,True,0.0
Q14-0417,A,13,16,13,13,0,0,True,0.0
Q15-0433,A,1,1,1,1,0,0,True,0.0
Q15-0442,C,1,1,1,1,0,0,True,0.0
Q15-0451,C,1,1,1,1,0,0,True,0.0
Q15-0453,A,8,9,8,8,0,0,True,0.0
Q15-0458,A,0,0,0,0,0,0,True,0.0
Q15-0470,C,3,3,3,3,0,0,True,0.0
Q15-0471,A,4,6,4,4,0,0,True,0.0
Q15-0498,C,25,25,25,25,0,0,True,0.0
Q15-0499,A,0,0,0,0,0,0,True,0.0
Q15-0530,A,5,5,5,5,0,0,True,0.0
Q15-0560,C,21,22,21,21,0,0,True,0.0
Q16-0562,A,25,25,25,25,0,0,True,0.0
Q16-0570,A,10,10,10,10,0,0,True,0.0
Q16-0571,B,5,5,5,5,0,0,True,0.0
Q16-0583,A,25,25,25,25,0,0,True,0.0
Q14-0409,A,25,25,25,25,0,0,True,0.0
Q14-0415,A,0,0,0,0,0,0,True,0.0
Q14-0420,A,25,25,25,25,0,0,True,0.0
Q15-0464,A,5,5,5,5,0,0,True,0.0
Q15-0481,A,4,4,4,4,0,0,True,0.0
Q15-0511,C,25,25,25,25,0,0,True,0.0
Q15-0536,C,0,0,0,0,0,0,True,0.0
Q15-0538,B,25,25,25,25,0,0,True,0.0
Q15-0553,A,7,7,7,7,0,0,True,0.0
Q15-0555,A,25,25,25,25,0,0,True,0.0
Q16-0579,C,3,3,3,3,0,0,True,0.0
Q15-0445,A,7,10,7,7,0,0,True,0.0
Q15-0463,C,0,0,0,0,0,0,True,0.0
Q15-0493,A,13,13,13,13,0,0,True,0.0
Q15-0501,C,8,10,8,8,0,0,True,0.0
Q15-0509,B,0,0,0,0,0,0,True,0.0
Q15-0516,C,8,8,8,8,0,0,True,0.0
Q15-0519,A,24,25,24,24,0,0,True,0.0
Q15-0524,B,25,25,25,25,0,0,True,0.0
Q16-0586,A,12,14,12,12,0,0,True,0.0
Q15-0434,B,13,13,13,13,0,0,True,0.0
Q15-0460,C,25,25,25,25,0,0,True,0.0
Q15-0468,A,9,9,9,9,0,0,True,0.0
Q15-0469,A,0,0,0,0,0,0,True,0.0
Q15-0529,C,1,1,1,1,0,0,True,0.0
Q16-0567,A,25,25,25,25,0,0,True,0.0
Q16-0568,A,19,19,19,19,0,0,True,0.0
Q16-0580,A,3,3,3,3,0,0,True,0.0
Q16-0585,A,0,0,0,0,0,0,True,0.0
Q16-0609,A,16,16,16,16,0,0,True,0.0
Q16-0614,A,13,13,13,13,0,0,True,0.0
Q15-0441,A,1,1,1,1,0,0,True,0.0
Q15-0443,A,6,6,6,6,0,0,True,0.0
Q15-0449,A,17,21,17,17,0,0,True,0.0
Q15-0455,A,12,14,12,12,0,0,True,0.0
Q15-0456,C,0,0,0,0,0,0,True,0.0
Q15-0467,C,0,0,0,0,0,0,True,0.0
Q15-0492,C,32,32,32,32,0,0,True,0.0
Q15-0500,C,1,1,1,1,0,0,True,0.0
Q15-0510,C,25,25,25,25,0,0,True,0.0
Q15-0512,A,7,7,7,7,0,0,True,0.0
Q15-0523,A,14,14,14,14,0,0,True,0.0
Q15-0543,C,25,25,25,25,0,0,True,0.0
Q15-0550,A,17,17,17,17,0,0,True,0.0
Q15-0558,A,25,25,25,25,0,0,True,0.0
Q16-0563,C,12,14,12,12,0,0,True,0.0
Q16-0565,A,25,25,25,25,0,0,True,0.0
Q16-0591,A,8,8,8,8,0,0,True,0.0
Q15-0461,C,0,0,0,0,0,0,True,0.0
Q15-0496,C,0,0,0,0,0,0,True,0.0
Q15-0497,A,10,10,10,10,0,0,True,0.0
Q16-0577,A,23,23,23,23,0,0,True,0.0
Q16-0623,A,1,1,1,1,0,0,True,0.0
Q16-0631,A,11,11,11,11,0,0,True,0.0
Q16-0638,A,18,25,18,18,0,0,True,0.0
Q15-0482,C,20,20,20,20,0,0,True,0.0
Q15-0548,C,11,11,11,11,0,0,True,0.0
Q16-0578,B,2,2,2,2,0,0,True,0.0
Q16-0581,C,21,21,21,21,0,0,True,0.0
Q16-0582,A,1,1,1,1,0,0,True,0.0
Q16-0651,B,34,34,34,34,0,0,True,0.0
Q16-0653,A,18,18,18,18,0,0,True,0.0
Q16-0661,A,25,25,25,25,0,0,True,0.0
Q15-0503,C,16,16,16,16,0,0,True,0.0
Q15-0504,C,20,22,20,20,0,0,True,0.0
Q15-0507,A,6,6,6,6,0,0,True,0.0
Q15-0527,C,1,1,1,1,0,0,True,0.0
Q15-0532,C,0,0,0,0,0,0,True,0.0
Q15-0534,A,3,3,3,3,0,0,True,0.0
Q15-0544,C,16,16,16,16,0,0,True,0.0
Q16-0575,A,7,7,7,7,0,0,True,0.0
Q16-0593,C,14,19,14,14,0,0,True,0.0
Q16-0603,C,17,17,17,17,0,0,True,0.0
Q16-0604,A,1,1,1,1,0,0,True,0.0
Q16-0624,A,1,1,1,1,0,0,True,0.0
Q16-0643,A,25,25,25,25,0,0,True,0.0
Q16-0657,A,1,1,1,1,0,0,True,0.0
Q16-0660,A,0,0,0,0,0,0,True,0.0
Q15-0486,A,4,5,4,4,0,0,True,0.0
Q15-0505,A,0,0,0,0,0,0,True,0.0
Q15-0508,A,25,25,25,25,0,0,True,0.0
Q15-0551,A,21,21,21,21,0,0,True,0.0
Q15-0552,A,24,24,24,24,0,0,True,0.0
Q15-0557,A,25,25,25,25,0,0,True,0.0
Q16-0564,B,4,4,4,4,0,0,True,0.0
Q16-0598,A,0,0,0,0,0,0,True,0.0
Q16-0649,C,14,15,14,14,0,0,True,0.0
